QuarterDate,NOM,TotalChange,Year,Quarter
2015-03-01,20105,37693.0,2015,1
2015-06-01,11157,27117.0,2015,2
2015-09-01,18147,35236.0,2015,3
2015-12-01,14782,35491.0,2015,4
2016-03-01,24794,45578.0,2016,1
2016-06-01,14492,34545.0,2016,2
2016-09-01,24517,32680.0,2016,3
2016-12-01,19105,29929.0,2016,4
2017-03-01,31795,42774.0,2017,1
2017-06-01,15826,24053.0,2017,2
2017-09-01,24565,30906.0,2017,3
2017-12-01,14946,24696.0,2017,4
2018-03-01,30962,40376.0,2018,1
2018-06-01,16495,24452.0,2018,2
2018-09-01,25574,31938.0,2018,3
2018-12-01,16506,24719.0,2018,4
2019-03-01,30510,39021.0,2019,1
2019-06-01,12886,18589.0,2019,2
2019-09-01,25930,30593.0,2019,3
2019-12-01,15737,22152.0,2019,4
2020-03-01,21407,26586.0,2020,1
2020-06-01,-2477,-1590.0,2020,2
2020-09-01,-20667,-23609.0,2020,3
2020-12-01,-18680,-24242.0,2020,4
2021-03-01,-9881,-11893.0,2021,1
2021-06-01,-3831,-7480.0,2021,2
2021-09-01,-4985,-4706.0,2021,3
2021-12-01,13337,11897.0,2021,4
2022-03-01,35573,36567.0,2022,1
2022-06-01,22765,23652.0,2022,2
2022-09-01,38053,42458.0,2022,3
2022-12-01,37589,42705.0,2022,4
2023-03-01,50020,56856.0,2023,1
2023-06-01,34234,39918.0,2023,2
2023-09-01,42225,48497.0,2023,3
2023-12-01,29175,35402.0,2023,4
2024-03-01,39954,47466.0,2024,1
2024-06-01,16389,22289.0,2024,2
2024-09-01,23166,32034.0,2024,3
2024-12-01,18956,24793.0,2024,4
2025-03-01,34665,45472.0,2025,1
